Date,Open,High,Low,Close,Adj Close,Volume
2020-06-10,34.497154,34.582542,34.051231,34.079697,32.148407,29557217
2020-06-11,33.776093,33.851994,31.574953,31.593927,29.803507,63166642
2020-06-12,32.333965,32.352940,31.356735,32.020874,30.206255,37902472
2020-06-15,31.593927,31.992411,31.081594,31.650854,29.857203,36247482
2020-06-16,31.869070,32.220116,31.043644,31.688805,29.893005,55616945
2020-06-17,31.869070,32.039848,31.612904,31.840607,30.036203,27509822
2020-06-18,31.565466,31.755219,31.290323,31.537003,29.749805,32278855
2020-06-19,31.963947,32.011387,31.423149,31.707781,29.910904,43986266
2020-06-22,31.622391,31.650854,31.223909,31.413662,29.633455,23332503
2020-06-23,31.499050,31.546490,31.062618,31.091082,29.329153,37690408
2020-06-24,31.034157,31.053131,30.360531,30.540796,28.810055,30817695
2020-06-25,30.464895,30.721064,30.199242,30.664137,28.926403,27418651
2020-06-26,30.597723,30.626186,29.990513,30.398481,28.675804,42153992
2020-06-29,30.796965,30.996204,30.550285,30.967743,29.212805,23956261
2020-06-30,30.863379,31.195446,30.578749,31.024668,29.266504,25451676
2020-07-01,32.770397,32.770397,31.992411,32.011387,30.197306,73503009
2020-07-02,32.846298,33.064514,32.296017,32.741936,30.886452,45270881
2020-07-06,33.159393,33.197342,32.618595,32.741936,30.886452,27150935
2020-07-07,32.305504,32.590134,32.220116,32.286530,30.456854,25148018
2020-07-08,32.267551,32.609108,31.850096,32.020874,30.206255,24256545
2020-07-09,32.001900,32.144215,31.404175,31.745731,29.946705,20363702
2020-07-10,31.935484,32.296017,31.774195,32.096775,30.277855,24459019
2020-07-13,32.950665,33.889942,32.751423,33.406071,31.512951,56569129
2020-07-14,33.557877,33.605312,33.092979,33.425049,31.530855,32854129
2020-07-15,34.146111,34.155598,33.652752,33.889942,31.969398,26294454
2020-07-16,33.776093,33.814041,33.453510,33.776093,31.862005,18421812
2020-07-17,34.022770,34.468693,33.899429,34.392788,32.443752,23347365
2020-07-20,35.569260,35.692600,34.459202,34.629982,32.667507,36815693
2020-07-21,35.047440,35.180267,34.648956,34.810246,32.837555,23588520
2020-07-22,36.271347,36.745731,35.597721,36.584438,34.511208,90705554
2020-07-23,37.220116,37.400379,36.223907,36.442123,34.376953,59639536
2020-07-24,36.081593,36.195446,35.417458,35.730549,33.705704,33870501
2020-07-27,35.445919,35.815941,35.322582,35.616699,33.598301,27640307
2020-07-28,36.565464,37.324478,36.110058,37.020874,34.922905,56393954
2020-07-29,37.286530,37.428844,36.480076,37.248577,35.137707,37033660
2020-07-30,36.318787,36.944973,36.242886,36.755219,35.011181,32273796
2020-07-31,36.318787,36.764706,35.920303,36.508537,34.776207,28472124
2020-08-03,36.631878,36.679317,36.261860,36.385201,34.658722,31036400
2020-08-04,36.347248,36.698292,36.138519,36.423149,34.694874,29448549
2020-08-05,36.499050,36.555977,36.176472,36.480076,34.749096,24292697
2020-08-06,36.783680,37.096775,36.195446,36.309299,34.586422,20922111
2020-08-07,36.337761,36.641365,36.204933,36.480076,34.749096,23097251
2020-08-10,36.574951,36.679317,36.299809,36.423149,34.694874,19964552
2020-08-11,36.584438,36.603416,35.740040,35.853889,34.152618,21326847
2020-08-12,35.891842,36.574951,35.872864,36.366222,34.640640,19957595
2020-08-13,36.119545,36.223907,35.939278,36.214420,34.496044,15340021
2020-08-14,36.062618,36.423149,35.986717,36.110058,34.396633,12901276
2020-08-17,36.091084,36.442123,36.005692,36.385201,34.658722,17494187
2020-08-18,36.480076,36.489563,36.214420,36.394688,34.667759,10846398
2020-08-19,36.508537,36.631878,36.166985,36.299809,34.577381,15690055
2020-08-20,36.223907,36.802658,36.176472,36.736244,34.993107,21957455
2020-08-21,36.916508,37.001900,36.593929,36.888046,35.137707,25467170
2020-08-24,37.020874,37.039848,36.565464,36.850094,35.101559,25011947
2020-08-25,36.537003,36.584438,36.005692,36.442123,34.712940,26221201
2020-08-26,36.233398,36.309299,35.730549,36.100571,34.387592,24083689
2020-08-27,36.015179,36.053131,35.749527,35.920303,34.215881,22156556
2020-08-28,35.929790,36.110058,35.483871,35.967743,34.261074,32830519
2020-08-31,35.901329,36.072105,35.578747,35.853889,34.152618,30032465
2020-09-01,35.853889,35.882355,34.639469,34.990513,33.330208,36145560
2020-09-02,34.886147,35.388992,34.535103,35.294117,33.619408,29068688
2020-09-03,35.455406,35.569260,34.250473,34.535103,32.896412,35956788
2020-09-04,34.620495,34.753323,34.032257,34.497154,32.860260,26872257
2020-09-08,34.658443,34.734344,33.851994,34.089184,32.471653,26736818
2020-09-09,34.430740,34.772297,34.288425,34.326378,32.697594,27490533
2020-09-10,34.345352,34.459202,33.757114,33.823528,32.218601,21650741
2020-09-11,33.908916,34.259960,33.633778,34.222012,32.598175,24109301
2020-09-14,34.497154,35.616699,34.421253,35.113853,33.447697,29565543
2020-09-15,35.284630,35.436432,34.924099,35.066414,33.402512,22003726
